stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10AHERNN,8,10TH AVE N & HERMAN ST NB,10TH AV N & HERMAN ST,36.168831,-86.792339,,,,,,
12AARCSF,19,12TH AVE S & ARCHER ST SB,1037 12TH AVE & ARCHER ST,36.145068,-86.78644,0,,,,,0
12AARCNN,20,12TH AVE S & ARCHER ST,1025 12TH AVE & ARCHER ST,36.145223,-86.786227,,,,,,0
12AACLSN,24,12TH AVE S & ACKLEN AVE SB,1905 S 12TH AVE & ACKLEN AVE,36.134037,-86.788948,,,,,,1
12ADEMNN,29,12TH AVE S & DEMONBREUN ST NB,12TH AV S & DEMONBREUN ST,36.154509,-86.786056,,,,,,
12ADIVNN,31,12TH AVE S & DIVISION ST NB,731 12TH AVE & DIVISION ST,36.150807,-86.784265,0,,,,,0
12AEDGSF,33,12TH AVE S & EDGEHILL AVE SB,1211 12TH AVE & EDGEHILL AVE,36.14247,-86.787177,,,,,,0
12AEDGNF,35,12TH AVE S & EDGEHILL AVE NB,1181 12TH AVE & EDGEHILL AVE,36.142991,-86.78689,,,,,,0
GRAFERSN,36,GRANNY WHITE PIKE & FERGUSON AVE SB,GRANNY WHITE PK & FERGUSON AV,36.118934,-86.791122,,,,,,
GRAFERNN,37,GRANNY WHITE PIKE & FERGUSON AVE NB,GRANNY WHITE PK & FERGUSON AV,36.118756,-86.791055,,,,,,
12AHORSF,41,12TH AVE S & HORTON AVE SB,1327 12TH AVE & HORTON AVE,36.139604,-86.787684,,,,,,0
12AHORNF,42,12TH AVE S & HORTON AVE NB,1289 12TH AVE & HORTON AVE,36.140116,-86.787477,,,,,,0
12ADOUNF,46,12TH AVE S & DOUGLAS AVE NB,2095 S 12TH AVE & DOUGLAS AVE S,36.131033,-86.788677,,,,,,0
12ALINNN,48,12TH AVE S & LINDEN AVE NB,12TH AV S & LINDEN AV,36.127614,-86.789082,,,,,,0
12ASWENF,50,12TH AVE S & SWEETBRIAR AVE NB,12TH AV S & SWEETBRIAR AV,36.123872,-86.789755,,,,,,
12ASOUSN,54,12TH AVE S & SOUTH ST SB,889 12TH AVE & SOUTH ST,36.147573,-86.785751,,,,,,0
12ASOUNN,55,12TH AVE S & SOUTH ST NB,907 12TH AVE & SOUTH ST,36.147186,-86.785703,,,,,,0
12AWEDNF,59,12TH AVE S & WEDGEWOOD AVE NB,1545 S 12TH AVE & WADE AVE,36.1365,-86.78846,,,,,,1
12AWEDSF,60,12TH AVE S & WEDGEWOOD SB,1659 S 12TH AVE & WEDGEWOOD AVE,36.13586,-86.7889,,,,,,1
12AWESNN,61,12TH AVE S & WEST GROVE AVE NB,1903 S 12TH AVE & ACKLEN AVE,36.134306,-86.788828,,,,,,0
16SEASNN,77,N 16TH ST & EASTLAND AVE NB,,36.182851,-86.740997,,,,,,
19SLILNN,102,S 19TH ST & LILLIAN ST NB,,36.171492,-86.737189,,,,,,0
19SSHESN,103,S 19TH ST & SHELBY AVE EB,,36.170153,-86.737493,,,,,,
1SJAMNM,104,N 1ST ST & JAMES ROBERTSON PKWY NB,N 1ST ST & MAIN ST,36.172643,-86.773761,,,,,,
1SWOONM,107,S 1ST ST & WOODLAND ST NB,1ST ST S & MAIN ST,36.169739,-86.772489,,,,,,0
20ACHUNN,111,20TH AVE N & CHURCH ST NB,20TH AV N & CHURCH ST,36.153222,-86.800614,,,,,,0
20ASTANF,113,20TH AVE N & STATE ST,20TH AV N & STATE ST,36.154615,-86.801666,,,,,,
20AWESNN,114,20TH AVE S & WEST END AVE NB,20TH AV S & WEST END AV,36.151061,-86.799021,0,,,,,0
21AACKSF,115,21ST AVE S & ACKLEN AVE SB,21ST AV S & ACKLEN AV,36.135345,-86.801115,,,,,,0
21ACHINN,120,21ST AVE S & CHILDRENS WAY NB,21ST AV S & CHILDRENS WY,36.138372,-86.800622,,,,,,0
21ABLANN,121,21ST AVE S & BLAIR BLVD NB,21ST AV S & BLAIR BV,36.130158,-86.80197,,,,,,0
21ACAPSN,124,21ST AVE S & CAPERS AVE SB,21ST AV S & CAPERS AV,36.138881,-86.800622,0,,0,,,0
21AEDGNF,126,21ST AVE S & EDGEHILL AVE NB,21ST AV S & EDGEHILL AV,36.144373,-86.799749,,,,,,
21AFAINN,128,21ST AVE S & FAIRFAX AVE NB,US HWY 431 & 21ST AVE S,36.134135,-86.801021,,,,,,1
21AMEDNN,129,21ST AVE S & MEDICAL CENTER DR NB,21ST AV S & GARLAND AV,36.142676,-86.79995,,,,,,0
21AMEDSF,130,21ST AVE S & MEDICAL CENTER DR SB,21ST AV S & GARLAND AV,36.142489,-86.800118,,,,,,1
21AGRANN,133,21ST AVE S & GRAND AVE NB,21ST AV S & GRAND AV,36.147335,-86.79928,,,,,,1
HER24AEN,134,HERMAN ST & 24TH AVE N EB,HERMAN ST & 24TH AV N,36.162113,-86.812001,,,,,,
